CCode,DATETIME_START_OUTPUTROW,DATETIME_END_OUTPUTROW,StateAbb,StateName,year,irst,milex,milper,pec,tpop,upop,cinc
517,1982-Jan-01 00:00:00,1983-Jan-01 00:00:00,RWA,Rwanda,1982,0,28134,5,1553,2830,480,0.609
900,1975-Jan-01 00:00:00,1976-Jan-01 00:00:00,AUL,Australia,1975,7856,2422694,70,99089,1034931,172410,0.61
305,1984-Jan-01 00:00:00,1985-Jan-01 00:00:00,AUS,Austria,1984,4870,792584,40,52464,1347,0,0.61
211,1978-Jan-01 00:00:00,1979-Jan-01 00:00:00,BEL,Belgium,1978,12624,3166709,109,84655,45232,18449,0.61
439,1998-Jan-01 00:00:00,1999-Jan-01 00:00:00,BFO,Burkina Faso,1998,0,81000,9,3437,5802,718,0.61
355,1996-Jan-01 00:00:00,1997-Jan-01 00:00:00,BUL,Bulgaria,1996,2457,373000,80,58965,4280,131,0.61
155,2000-Jan-01 00:00:00,2001-Jan-01 00:00:00,CHL,Chile,2000,1352,3158000,87,47629,3451,355,0.61
40,1977-Jan-01 00:00:00,1978-Jan-01 00:00:00,CUB,Cuba,1977,330,770000,200,16531,0,0,0.61
390,2005-Jan-01 00:00:00,2006-Jan-01 00:00:00,DEN,Denmark,2005,-9,3472000,21,49728,47957,10064,0.61
130,1986-Jan-01 00:00:00,1987-Jan-01 00:00:00,ECU,Ecuador,1986,17,166150,44,10904,3277,0,0.61
375,1996-Jan-01 00:00:00,1997-Jan-01 00:00:00,FIN,Finland,1996,3301,2255000,35,71606,52112,13922,0.61
395,1996-Jan-01 00:00:00,1997-Jan-01 00:00:00,ICE,Iceland,1996,50,0,0,1583,4702,0,0.61
645,1991-Jan-01 00:00:00,1992-Jan-01 00:00:00,IRQ,Iraq,1991,0,12900000,475,25243,1559,350,0.61
663,2005-Jan-01 00:00:00,2006-Jan-01 00:00:00,JOR,Jordan,2005,150,973000,100,10106,33071,767,0.61
150,2007-Jan-01 00:00:00,2008-Jan-01 00:00:00,PAR,Paraguay,2007,95,100000,10,10154,2550,0,0.61
225,1972-Jan-01 00:00:00,1973-Jan-01 00:00:00,SWZ,Switzerland,1972,543,635195,25,14715,47168,18563,0.61
696,1977-Jan-01 00:00:00,1978-Jan-01 00:00:00,UAE,United Arab Emirates,1977,0,605897,25,25893,13242,870,0.61
552,1987-Jan-01 00:00:00,1988-Jan-01 00:00:00,ZIM,Zimbabwe,1987,515,423730,45,10555,3667,625,0.61
432,2001-Jan-01 00:00:00,2002-Jan-01 00:00:00,MLI,Mali,2001,0,63000,7,1599,2662,1151,0.612
55,1999-Jan-01 00:00:00,2000-Jan-01 00:00:00,GRN,Grenada,1999,0,0,0,18,4070,922,0.61258
91,1992-Jan-01 00:00:00,1993-Jan-01 00:00:00,HON,Honduras,1992,8,42450,17,3964,0,0,0.614
663,1995-Jan-01 00:00:00,1996-Jan-01 00:00:00,JOR,Jordan,1995,30,448000,100,5586,37113,1186,0.614
581,1975-Dec-31 00:00:00,1976-Jan-01 00:00:00,COM,Comoros,1975,0,0,0,0,1059,137,0.614175
581,1976-Jan-01 00:00:00,1977-Jan-01 00:00:00,COM,Comoros,1976,0,-9,0,0,1084,139,0.614175
781,1981-Jan-01 00:00:00,1982-Jan-01 00:00:00,MAD,Maldives,1981,0,-9,0,0,26658,757,0.614175
55,1995-Jan-01 00:00:00,1996-Jan-01 00:00:00,GRN,Grenada,1995,0,0,0,13,3960,740,0.61473
41,1979-Jan-01 00:00:00,1980-Jan-01 00:00:00,HAI,Haiti,1979,0,13600,7,1349,15843,391,0.615
712,2006-Jan-01 00:00:00,2007-Jan-01 00:00:00,MON,Mongolia,2006,35,39000,9,3605,10510,490,0.615
433,1992-Jan-01 00:00:00,1993-Jan-01 00:00:00,SEN,Senegal,1992,0,126700,18,2946,1987,111,0.615
451,1993-Jan-01 00:00:00,1994-Jan-01 00:00:00,SIE,Sierra Leone,1993,0,14000,5,1743,4654,161,0.615
780,1992-Jan-01 00:00:00,1993-Jan-01 00:00:00,SRI,Sri Lanka,1992,30,547200,110,5556,20357,3127,0.615
165,1991-Jan-01 00:00:00,1992-Jan-01 00:00:00,URU,Uruguay,1991,44,240800,25,4191,1487,227,0.615
482,1987-Jan-01 00:00:00,1988-Jan-01 00:00:00,CEN,Central African Republic,1987,0,18670,5,972,3174,125,0.6155
591,1985-Jan-01 00:00:00,1986-Jan-01 00:00:00,SEY,Seychelles,1985,0,8410,1,7,254469,86831,0.615772
56,1981-Jan-01 00:00:00,1982-Jan-01 00:00:00,SLU,St. Lucia,1981,0,0,0,7,5040,1224,0.615772
483,1993-Jan-01 00:00:00,1994-Jan-01 00:00:00,CHA,Chad,1993,0,38300,30,1592,4756,0,0.616
91,2000-Jan-01 00:00:00,2001-Jan-01 00:00:00,HON,Honduras,2000,8,95000,8,3892,0,0,0.616
663,1977-Jan-01 00:00:00,1978-Jan-01 00:00:00,JOR,Jordan,1977,0,287059,70,1717,32094,980,0.616
92,2006-Jan-01 00:00:00,2007-Jan-01 00:00:00,SAL,El Salvador,2006,72,106000,16,4793,14643,672,0.616
616,1978-Jan-01 00:00:00,1979-Jan-01 00:00:00,TUN,Tunisia,1978,160,148246,22,2997,4795,1192,0.616
51,1970-Jan-01 00:00:00,1971-Jan-01 00:00:00,JAM,Jamaica,1970,0,6441,1,2705,229966,57825,0.617
690,1991-Jan-01 00:00:00,1992-Jan-01 00:00:00,KUW,Kuwait,1991,0,15500000,10,6184,22871,831,0.618
652,1972-Jan-01 00:00:00,1973-Jan-01 00:00:00,SYR,Syria,1972,0,207591,115,3663,9761,428,0.618
461,1988-Jan-01 00:00:00,1989-Jan-01 00:00:00,TOG,Togo,1988,0,45689,6,2475,2302,109,0.618
403,2002-Jan-01 00:00:00,2003-Jan-01 00:00:00,STP,Sao Tome and Principe,2002,0,-9,-9,4,5830,712,0.618597
339,1996-Jan-01 00:00:00,1997-Jan-01 00:00:00,ALB,Albania,1996,23,103000,52,2387,803,0,0.619
434,2001-Jan-01 00:00:00,2002-Jan-01 00:00:00,BEN,Benin,2001,0,41000,5,2197,2140,295,0.619
615,1973-Jan-01 00:00:00,1974-Jan-01 00:00:00,ALG,Algeria,1973,28,137657,80,34486,8898,989,0.62
771,1980-Jan-01 00:00:00,1981-Jan-01 00:00:00,BNG,Bangladesh,1980,137,162840,71,17606,9398,2208,0.62
771,2002-Jan-01 00:00:00,2003-Jan-01 00:00:00,BNG,Bangladesh,2002,-9,607000,137,38345,17136,7774,0.62
355,2005-Jan-01 00:00:00,2006-Jan-01 00:00:00,BUL,Bulgaria,2005,1969,669000,51,43945,4655,227,0.62
390,1996-Jan-01 00:00:00,1997-Jan-01 00:00:00,DEN,Denmark,1996,739,3152000,28,61194,18813,2909,0.62
651,1982-Jan-01 00:00:00,1983-Jan-01 00:00:00,EGY,Egypt,1982,484,2494532,447,35595,4660,0,0.62
310,1984-Jan-01 00:00:00,1985-Jan-01 00:00:00,HUN,Hungary,1984,3750,2136477,118,63812,1535,0,0.62
666,2004-Jan-01 00:00:00,2005-Jan-01 00:00:00,ISR,Israel,2004,280,10235000,167,54532,12985,731,0.62
501,1990-Jan-01 00:00:00,1991-Jan-01 00:00:00,KEN,Kenya,1990,20,211519,20,10700,7831,648,0.62
620,1999-Jan-01 00:00:00,2000-Jan-01 00:00:00,LIB,Libya,1999,966,1311000,85,42869,9634,0,0.62
368,2002-Jan-01 00:00:00,2003-Jan-01 00:00:00,LIT,Lithuania,2002,-9,248000,14,18994,7943,1101,0.62
820,1992-Jan-01 00:00:00,1993-Jan-01 00:00:00,MAL,Malaysia,1992,1559,2500000,128,39151,9921,377,0.62
790,1989-Jan-01 00:00:00,1990-Jan-01 00:00:00,NEP,Nepal,1989,0,39000,35,6491,64450,10871,0.62
698,1991-Jan-01 00:00:00,1992-Jan-01 00:00:00,OMA,Oman,1991,0,1440000,29,12618,1943,100,0.62
770,1973-Jan-01 00:00:00,1974-Jan-01 00:00:00,PAK,Pakistan,1973,0,469782,466,17361,7248,217,0.62
135,1998-Jan-01 00:00:00,1999-Jan-01 00:00:00,PER,Peru,1998,631,1009000,115,22994,2390,0,0.62
235,1990-Jan-01 00:00:00,1991-Jan-01 00:00:00,POR,Portugal,1990,717,1540000,87,59747,2940,112,0.62
235,2004-Jan-01 00:00:00,2005-Jan-01 00:00:00,POR,Portugal,2004,1400,2866000,44,97611,3428,323,0.62
732,1980-Jan-01 00:00:00,1981-Jan-01 00:00:00,ROK,South Korea,1980,14447,3308760,600,69421,2884,994,0.62
225,1985-Jan-01 00:00:00,1986-Jan-01 00:00:00,SWZ,Switzerland,1985,987,2087000,23,25348,46666,18237,0.62
52,1985-Jan-01 00:00:00,1986-Jan-01 00:00:00,TRI,Trinidad and Tobago,1985,0,73470,2,19311,15330,3496,0.62
165,1979-Jan-01 00:00:00,1980-Jan-01 00:00:00,URU,Uruguay,1979,16,125000,28,3853,1140,140,0.62
704,1992-Jan-01 00:00:00,1993-Jan-01 00:00:00,UZB,Uzbekistan,1992,630,-9,40,77168,3271,263,0.62
436,1978-Jan-01 00:00:00,1979-Jan-01 00:00:00,NIR,Niger,1978,0,9000,4,961,4758,1012,0.6202
110,1993-Jan-01 00:00:00,1994-Jan-01 00:00:00,GUY,Guyana,1993,0,6100,2,531,1370,116,0.6208
339,2000-Jan-01 00:00:00,2001-Jan-01 00:00:00,ALB,Albania,2000,5,113000,54,1892,832,0,0.621
517,1984-Jan-01 00:00:00,1985-Jan-01 00:00:00,RWA,Rwanda,1984,0,30225,5,1728,2900,497,0.621
471,1976-Jan-01 00:00:00,1977-Jan-01 00:00:00,CAO,Cameroon,1976,0,48464,10,2402,2120,287,0.622
432,1973-Jan-01 00:00:00,1974-Jan-01 00:00:00,MLI,Mali,1973,0,10979,8,1053,3460,566,0.622
432,1979-Jan-01 00:00:00,1980-Jan-01 00:00:00,MLI,Mali,1979,0,36058,5,1215,3639,612,0.622
92,1996-Jan-01 00:00:00,1997-Jan-01 00:00:00,SAL,El Salvador,1996,41,149000,22,3418,14363,512,0.622
461,1978-Jan-01 00:00:00,1979-Jan-01 00:00:00,TOG,Togo,1978,0,21224,5,1470,2153,124,0.622
31,1989-Jan-01 00:00:00,1990-Jan-01 00:00:00,BHM,Bahamas,1989,0,66500,2,113,0,0,0.6224
940,1994-Jan-01 00:00:00,1995-Jan-01 00:00:00,SOL,Solomon Islands,1994,0,0,0,110,19367,3361,0.6224
145,1998-Jan-01 00:00:00,1999-Jan-01 00:00:00,BOL,Bolivia,1998,0,209000,33,9653,1740,0,0.623
812,1997-Jan-01 00:00:00,1998-Jan-01 00:00:00,LAO,Laos,1997,0,72000,50,2151,9078,2065,0.623
520,2007-Jan-01 00:00:00,2008-Jan-01 00:00:00,SOM,Somalia,2007,0,-9,-9,3876,4624,838,0.623
679,2007-Jan-01 00:00:00,2008-Jan-01 00:00:00,YEM,Yemen,2007,0,908000,67,9330,5601,481,0.623
420,1996-Jan-01 00:00:00,1997-Jan-01 00:00:00,GAM,Gambia,1996,0,15000,1,163,2770,253,0.6239
712,1991-Jan-01 00:00:00,1992-Jan-01 00:00:00,MON,Mongolia,1991,0,264000,31,4543,5680,1711,0.624
552,1983-Jan-01 00:00:00,1984-Jan-01 00:00:00,ZIM,Zimbabwe,1983,672,378076,46,8490,3553,581,0.624
678,1987-Jan-01 00:00:00,1988-Jan-01 00:00:00,YAR,Yemen Arab Republic,1987,0,530040,43,659,1621,384,0.6241
990,2006-Jan-01 00:00:00,2007-Jan-01 00:00:00,WSM,Samoa,2006,0,0,0,44,54739,7340,0.62415
663,1987-Jan-01 00:00:00,1988-Jan-01 00:00:00,JOR,Jordan,1987,0,745500,100,4185,35696,1089,0.625
580,1985-Jan-01 00:00:00,1986-Jan-01 00:00:00,MAG,Madagascar,1985,0,54341,27,2542,4295,0,0.625
580,2006-Jan-01 00:00:00,2007-Jan-01 00:00:00,MAG,Madagascar,2006,0,54000,14,4305,1010,113,0.625
433,1979-Jan-01 00:00:00,1980-Jan-01 00:00:00,SEN,Senegal,1979,0,59016,8,2019,1790,0,0.625
110,1970-Jan-01 00:00:00,1971-Jan-01 00:00:00,GUY,Guyana,1970,0,1000,4,328,1298,101,0.6252
